iid,gender,age,imprace,imprelig,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy
104,1,27,6,8,2,5,3,8,3,8,9,8,8,9,5,8,7,3,8,7,6,8,3,7,8
105,1,25,1,1,2,7,1,9,9,6,8,5,5,3,4,7,8,6,6,7,4,7,5,5,5
106,1,22,1,3,5,7,3,2,4,2,9,6,5,4,9,2,9,8,7,9,2,8,5,3,5
107,1,21,1,1,1,4,1,7,2,4,7,6,7,8,1,7,7,1,5,7,9,9,1,10,6
108,1,24,1,1,1,6,3,7,3,4,5,6,7,3,2,5,7,3,7,7,4,6,2,2,5
109,1,25,1,1,1,4,1,2,1,2,10,10,10,1,2,2,10,5,7,10,10,10,5,3,5
110,1,28,4,6,2,6,1,4,3,8,7,7,9,8,2,3,7,5,7,9,7,8,3,6,6
111,1,27,7,1,5,5,1,9,9,7,9,10,9,9,1,5,9,5,8,9,8,5,3,5,9
122,1,22,1,1,1,3,1,7,9,7,9,7,6,5,6,6,6,8,7,8,8,8,5,4,6
123,1,18,3,5,2,5,1,9,9,8,8,3,2,5,5,6,2,7,2,7,7,7,7,5,5
124,1,22,1,1,2,4,1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7,6
125,1,21,3,1,1,3,1,3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7,6
126,1,22,7,5,4,6,3,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,6
127,1,22,1,1,6,5,1,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,1
128,1,21,3,1,1,3,2,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5
129,1,26.58759124,1,1,3,3,3,7,4,7,9,4,5,9,2,6,9,4,4,7,6,6,4,6,10
130,1,20,4,1,1,6,2,7,4,9,8,3,2,7,5,7,6,2,1,2,2,9,6,2,6
131,1,19,4,1,2,7,3,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5
137,1,26,1,1,1,4,1,6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3,7
138,1,32,9,6,1,3,2,7,2,9,8,6,6,1,7,7,9,9,4,9,2,9,6,2,6
139,1,37,6,1,1,6,3,7,5,8,10,9,9,6,5,6,10,8,7,10,8,9,7,8,8
140,1,29,5,5,1,5,2,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3,6
141,1,28,4,4,1,6,2,10,10,3,9,5,5,7,5,7,3,8,9,10,8,9,6,6,4
158,1,23,3,4,4,6,2,2,4,4,6,7,4,7,7,6,8,6,5,8,4,9,5,1,7
159,1,28,7,2,1,6,2,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,6
160,1,29,3,4,2,5,2,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,6
161,1,22,6,2,2,4,2,9,9,9,8,7,6,7,7,9,9,8,6,8,6,9,6,2,7
162,1,27,1,1,2,6,2,3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,4
163,1,26,1,1,4,3,3,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,2
164,1,27,1,1,1,6,2,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,5
165,1,30,4,7,3,6,3,3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,6
166,1,26,1,9,5,5,2,5,5,9,4,4,2,5,1,3,9,1,5,8,7,10,1,7,6
167,1,23,1,1,2,6,2,9,9,8,6,8,8,9,2,5,6,5,6,8,6,7,3,2,3
168,1,23,1,1,1,4,2,5,5,3,5,5,5,5,3,3,5,3,5,5,5,3,3,3,5
169,1,28,2,3,2,6,2,10,7,8,9,9,7,7,1,6,4,2,7,6,8,8,4,4,6
170,1,28,2,1,1,5,3,2,1,8,8,8,8,5,3,1,9,8,7,8,6,8,4,5,6
171,1,29,1,1,1,4,2,8,2,8,8,5,5,5,2,8,9,6,6,9,4,9,7,1,8
172,1,27,5,7,1,3,1,7,8,7,8,4,5,5,6,8,7,4,6,8,8,7,6,3,5
173,1,22,5,7,1,4,1,10,8,9,6,5,6,7,4,8,7,4,5,6,9,10,3,6,3
184,1,34,1,1,2,4,2,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,9
185,1,25,3,4,1,7,4,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,6
186,1,24,4,3,1,7,3,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,7
187,1,26,10,5,2,4,1,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,6
188,1,21,1,1,2,3,1,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,6
189,1,27,6,1,1,6,2,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,5
190,1,25,1,1,2,7,3,7,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,8
191,1,28,6,1,5,4,2,8,1,7,8,6,6,6,1,8,7,3,4,8,4,7,1,7,4
192,1,24,2,7,1,6,2,7,5,7,7,3,2,6,8,7,9,6,3,6,7,8,4,5,4
193,1,25,2,2,1,6,2,8,10,7,9,9,8,1,1,4,10,10,10,10,9,9,9,5,4
214,1,23,6,8,1,6,2,9,3,10,8,6,7,7,4,7,3,1,9,6,4,6,7,1,6
215,1,26,3,1,1,4,1,8,6,9,9,6,4,2,7,6,9,5,2,9,2,7,9,2,7
216,1,27,7,1,2,5,3,2,1,2,7,7,5,3,5,1,13,6,6,7,6,5,2,1,6
217,1,26,8,1,5,4,2,1,2,8,7,8,8,10,1,2,10,4,8,6,10,10,1,7,3
218,1,24,9,5,1,4,2,9,3,5,7,9,10,7,3,7,5,1,5,7,8,8,6,1,3
219,1,26,1,1,1,3,2,8,2,7,7,7,8,3,3,6,7,2,6,7,7,10,3,10,7
220,1,25,1,1,1,5,2,9,9,5,10,9,10,10,6,8,10,2,5,5,5,9,5,5,10
221,1,27,6,1,2,6,3,5,6,3,7,6,3,4,3,7,8,7,8,8,4,4,4,1,6
222,1,27,8,3,2,6,3,5,1,6,8,10,9,6,4,7,9,1,9,9,10,8,3,1,3
223,1,28,6,6,2,4,2,8,7,6,6,8,7,6,7,8,9,6,5,10,6,7,5,2,7
224,1,32,1,3,6,7,4,6,4,4,7,5,5,5,6,8,10,1,8,9,2,4,1,8,5
225,1,28,4,9,1,7,2,10,8,3,8,8,8,7,3,9,8,8,9,7,9,9,2,6,4
226,1,23,1,3,2,3,1,10,7,8,6,7,7,3,2,8,4,5,6,7,4,9,2,4,3
227,1,26,7,7,2,6,3,7,7,7,10,9,7,2,6,5,10,8,8,9,5,7,5,1,5
228,1,24,1,4,3,7,3,3,1,2,8,4,5,8,4,6,9,2,4,7,8,9,2,8,7
229,1,28,7,1,1,6,3,8,5,7,7,1,1,5,3,3,8,5,1,5,2,6,1,1,3
230,1,42,5,1,2,7,3,1,1,2,1,10,10,10,1,1,10,10,10,10,5,10,10,6,5
231,1,30,1,1,1,6,3,5,2,7,9,9,6,8,1,9,9,1,8,9,9,10,1,7,5
232,1,31,4,7,2,5,4,5,5,9,8,7,8,9,3,8,7,4,6,8,7,7,3,5,4
233,1,29,1,1,1,3,2,10,9,8,10,8,8,7,9,8,5,10,8,10,10,10,8,6,7
243,1,27,2,3,2,6,2,7,2,7,9,5,8,5,7,3,9,5,5,9,8,8,6,2,6
244,1,28,8,9,2,5,3,5,2,10,8,6,4,9,1,3,13,9,8,9,3,4,3,1,5
245,1,32,1,6,4,5,2,3,1,2,6,7,8,4,8,6,9,2,7,8,6,6,1,6,2
246,1,25,7,1,1,7,6,6,5,5,7,5,5,3,2,6,8,8,9,9,8,9,5,2,3
247,1,25,1,1,1,6,4,5,4,7,1,3,2,9,4,2,5,3,3,3,3,3,2,6,6
248,1,27,1,1,1,4,1,7,1,8,7,5,1,8,6,8,6,3,7,7,4,7,6,1,6
249,1,33,2,7,2,3,1,7,9,1,10,8,6,1,1,6,10,7,3,8,8,5,4,1,5
250,1,25,1,1,4,2,1,7,2,8,10,10,10,6,1,2,10,1,9,9,10,10,6,5,7
251,1,33,2,2,6,4,1,7,6,1,6,8,8,5,8,4,9,7,6,9,6,8,2,3,5
273,1,29,8,4,2,5,2,6,1,5,7,7,4,8,1,3,2,5,7,8,8,8,3,2,5
274,1,24,3,3,3,4,2,3,3,4,7,6,5,4,5,1,10,7,6,8,9,10,8,7,6
275,1,21,1,1,2,4,3,9,1,10,6,7,7,4,6,5,10,1,9,7,7,9,5,9,6
276,1,26,7,3,2,4,1,6,2,8,9,8,9,2,3,6,9,1,4,7,6,7,2,2,4
277,1,25,1,1,1,7,5,10,6,10,5,8,8,10,5,3,8,2,7,8,6,6,1,2,5
278,1,32,1,1,1,3,1,8,1,5,9,9,9,9,5,8,9,5,7,9,9,9,5,1,8
279,1,25,7,1,3,4,2,7,1,6,5,2,3,5,3,4,9,6,3,8,1,2,1,1,7
280,1,25,2,1,3,6,2,8,1,5,5,6,5,5,4,2,10,2,7,10,7,8,2,2,5
281,1,27,2,5,6,5,5,4,4,2,4,7,5,8,1,2,6,2,6,8,7,5,3,9,2
282,1,23,1,1,1,4,3,10,10,10,5,4,4,4,7,8,9,5,7,7,7,10,5,1,5
283,1,27,1,1,1,4,2,9,6,6,6,4,4,8,6,6,8,1,5,3,3,7,2,7,5
284,1,27,1,5,1,5,2,9,2,5,7,7,9,8,1,5,9,5,5,9,8,9,8,5,7
285,1,24,1,1,4,6,6,5,7,6,10,9,10,9,14,5,9,7,3,10,10,10,10,10,10
286,1,22,4,7,1,6,3,7,3,4,3,8,7,9,9,4,8,6,8,7,8,6,3,8,7
287,1,22,1,1,1,7,3,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8
288,1,27,3,5,1,6,3,9,5,3,8,5,5,6,4,4,9,2,6,7,5,7,2,2,5
289,1,28,1,2,1,4,1,10,6,1,7,3,6,10,5,3,10,6,5,7,6,8,2,1,7
290,1,34,2,6,2,5,2,7,1,8,7,7,4,3,2,1,10,1,3,5,9,10,2,5,5
291,1,27,5,5,1,3,2,9,7,7,7,7,7,5,6,5,7,5,6,7,5,8,5,5,6
292,1,28,7,1,1,2,1,10,5,8,8,7,5,10,7,9,7,4,7,9,5,10,1,1,6
293,1,28,3,7,2,5,2,6,9,7,10,8,7,6,6,8,9,6,9,9,8,8,6,4,6
308,1,27,7,3,1,7,2,7,7,7,8,8,8,8,7,3,7,9,8,9,7,8,7,7,7
309,1,32,5,9,3,3,2,6,4,4,9,8,10,8,5,7,9,6,8,9,8,10,4,4,7
310,1,25,7,8,1,3,1,2,2,3,7,6,6,3,8,5,9,8,7,9,5,6,5,3,6
311,1,29,1,1,2,6,1,10,8,9,10,7,6,8,9,1,7,4,6,8,10,10,9,8,8
312,1,23,3,1,2,4,2,7,7,5,7,9,8,10,5,3,8,5,6,9,7,8,2,1,5
313,1,27,2,3,1,4,1,9,8,6,8,6,3,6,1,9,6,3,2,7,8,10,5,1,6
314,1,32,3,1,2,6,2,9,2,7,8,6,4,2,2,2,6,7,3,7,6,8,8,8,6
315,1,27,1,4,3,5,3,8,2,2,8,8,8,8,2,8,7,1,8,9,7,7,2,2,5
316,1,25,3,3,2,4,1,9,3,5,7,6,6,6,4,6,9,5,4,4,7,9,4,1,5
317,1,30,1,1,1,4,1,8,1,5,10,6,10,4,3,8,4,1,10,10,8,9,1,1,7
318,1,29,1,1,2,6,1,8,4,8,6,4,5,7,7,7,7,6,7,8,5,8,7,6,6
319,1,26,2,4,6,7,2,8,7,5,7,5,4,8,7,1,5,7,2,2,10,9,2,3,7
320,1,36,6,8,4,5,5,4,1,9,9,8,4,6,3,1,10,1,5,7,2,5,2,1,6
321,1,29,3,3,1,5,1,7,4,4,8,5,5,4,2,7,5,2,6,8,6,7,2,1,6
332,1,30,1,1,3,7,4,7,2,8,5,10,10,7,3,7,9,5,8,10,5,9,7,1,7
333,1,23,5,3,1,3,1,10,5,10,7,3,1,10,5,3,8,2,4,8,2,4,3,6,7
334,1,29,1,1,1,5,3,9,4,9,9,8,8,5,6,8,5,5,6,6,3,5,8,5,5
335,1,24,1,8,1,3,3,9,1,9,4,7,7,4,1,4,8,6,5,4,3,8,5,7,6
336,1,25,1,5,1,5,2,5,4,4,5,8,10,4,1,1,9,4,6,10,10,10,3,4,4
337,1,28,1,1,1,5,3,9,9,8,8,8,7,5,4,6,7,5,7,8,7,6,4,4,5
338,1,27,1,1,1,4,2,4,2,7,6,8,8,8,6,6,8,4,10,10,7,7,5,10,2
339,1,26.58759124,3.36,3.032727273,2.2,4.835766423,2.156363636,7.054545455,4.974545455,6.2,7.410909091,6.505454545,6.167272727,5.578181818,4.432727273,5.592727273,7.392727273,4.927272727,6.029090909,7.654545455,6.541818182,7.709090909,4.741818182,3.767272727,5.850909091
340,1,26.58759124,3.36,3.032727273,2.2,4.835766423,2.156363636,7.054545455,4.974545455,6.2,7.410909091,6.505454545,6.167272727,5.578181818,4.432727273,5.592727273,7.392727273,4.927272727,6.029090909,7.654545455,6.541818182,7.709090909,4.741818182,3.767272727,5.850909091
361,1,34,5,5,2,6,6,3,1,3,5,9,10,3,3,4,10,6,8,9,7,7,3,2,5
362,1,30,1,1,1,4,3,8,2,1,9,6,6,6,4,7,6,4,6,6,6,6,7,2,9
363,1,23,1,1,3,6,2,3,3,9,10,4,5,8,6,9,7,5,5,8,7,5,8,5,7
364,1,27,6,2,3,4,2,9,7,9,9,4,3,3,5,1,9,5,4,7,5,6,8,1,6
365,1,30,1,1,1,2,1,7,3,3,9,9,10,8,4,8,8,1,5,7,9,10,5,5,8
366,1,27,4,6,1,4,1,6,6,4,8,9,9,7,6,8,9,4,6,7,10,10,8,6,5
367,1,27,6,3,3,4,1,6,7,8,8,5,5,3,4,8,5,6,3,3,7,8,7,2,8
368,1,24,1,1,1,4,2,4,6,4,8,9,7,3,8,9,9,9,7,9,8,9,8,4,4
369,1,25,1,8,2,5,3,2,6,2,6,7,7,7,1,1,10,3,7,5,6,8,1,1,7
370,1,28,7,4,3,4,1,7,8,7,7,6,6,3,1,6,7,2,2,2,5,9,4,1,7
371,1,27,3,1,5,7,1,10,7,7,3,3,3,3,3,3,4,5,3,6,10,10,1,7,6
372,1,27,9,7,2,5,2,9,10,8,9,9,9,7,4,2,9,6,8,6,7,7,4,2,5
373,1,29,3,1,2,5,2,7,5,8,8,7,6,3,5,9,8,2,3,4,5,9,8,2,9
374,1,30,6,6,2,4,2,10,10,8,7,8,8,5,5,6,5,6,9,10,9,8,4,4,7
375,1,27,3,2,1,3,1,9,8,5,8,4,4,2,2,7,5,6,5,6,3,6,7,3,5
376,1,25,10,7,2,5,2,4,1,4,10,5,6,7,7,3,3,9,7,9,5,6,9,5,5
377,1,26,3,2,1,5,1,7,9,6,6,3,3,1,7,8,6,8,5,8,7,8,6,2,6
378,1,29,3,2,6,5,2,9,5,10,5,4,4,2,1,8,7,3,3,8,5,8,5,2,6
397,1,24,3,2,2,5,2,9,8,8,6,7,7,6,2,6,7,5,7,8,4,7,5,1,6
398,1,29,7,2,2,3,1,4,1,2,10,7,7,9,9,8,7,7,7,9,6,5,6,2,8
399,1,29,1,1,2,4,2,9,2,9,9,9,9,7,3,5,9,1,6,7,8,10,3,8,7
400,1,26,7,7,5,4,2,7,4,7,7,6,6,6,1,8,7,1,7,7,6,7,1,1,3
401,1,31,1,1,2,4,1,10,1,4,8,8,8,8,2,5,5,1,8,8,10,10,7,3,9
402,1,29,1,1,3,4,2,10,2,6,9,6,6,9,7,4,3,3,5,8,4,4,6,9,6
403,1,22,6,6,5,5,3,9,8,3,7,4,3,5,3,3,5,6,5,8,3,6,2,1,6
404,1,23,1,4,2,5,2,10,5,8,10,8,8,9,7,9,8,4,5,8,7,8,6,3,7
405,1,30,1,1,4,5,5,6,1,6,9,8,9,2,6,8,8,6,10,9,7,9,9,5,6
406,1,27,1,1,1,6,2,4,6,8,9,6,7,8,6,6,7,7,8,9,7,10,2,1,6
407,1,24,1,1,3,4,2,8,4,7,9,9,9,7,4,2,9,5,7,10,9,9,7,7,5
408,1,24,1,1,2,7,1,7,7,9,8,9,8,3,5,1,6,2,4,8,6,10,2,1,6
409,1,23,5,5,2,6,3,10,4,1,4,7,8,10,2,8,7,2,6,8,10,10,5,2,7
410,1,27,8,8,1,5,1,10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1,1,5
411,1,34,8,2,3,4,1,7,6,6,7,7,6,3,3,1,8,1,7,6,7,10,8,3,3
412,1,27,1,1,1,5,2,10,10,10,5,8,8,0,7,3,8,6,5,5,8,8,4,4,4
413,1,26,5,3,1,4.835766423,2,6,7,5,7,5,3,5,5,4,6,8,6,9,6,6,7,0,8
414,1,29,2,10,6,1,1,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5
415,1,31,3,1,1,4,2,1,1,6,6,7,5,1,1,3,10,1,6,6,3,7,1,1,4
422,1,26,6,7,2,4,2,7,2,8,9,9,9,10,2,4,7,5,9,8,6,6,7,9,8
423,1,30,1,1,2,4,1,9,2,9,8,7,7,7,6,5,9,5,5,8,7,5,5,4,6
424,1,24,4,4,2,6,3,7,7,7,7,5,5,6,7,5,5,7,5,8,5,7,8,5,6
425,1,28,3,7,2,4,2,7,8,8,8,7,6,5,2,7,5,5,6,7,5,7,2,2,6
426,1,24,4,7,2,2,1,7,2,7,8,6,4,3,2,6,5,3,7,6,6,6,4,2,7
427,1,28,1,1,1,7,3,10,1,10,8,7,7,9,1,3,8,1,4,5,7,10,1,10,6
428,1,27,8,8,3,2,1,6,5,5,9,6,7,6,5,6,7,5,6,7,5,7,7,3,8
429,1,27,1,1,2,2,2,7,8,8,9,8,8,8,6,7,9,8,8,8,8,8,7,6,7
440,1,21,8,2,1,7,2,10,10,10,10,7,7,7,3,1,3,5,5,10,8,10,8,5,7
441,1,24,4,2,2,7,1,6,1,6,7,7,8,7,14,9,9,8,9,10,10,10,7,2,7
442,1,25,1,1,4,6,1,7,1,7,5,1,1,7,1,8,6,1,1,5,3,5,2,1,6
443,1,27,1,3,2,6,2,9,5,7,8,5,5,5,3,7,6,1,6,7,8,8,4,5,7
444,1,26,5,1,2,4,2,8,8,9,2,6,8,6,2,5,2,7,1,10,3,5,5,6,3
445,1,30,1,1,2,5,2,9,6,8,8,5,3,9,5,9,10,5,4,10,8,9,5,1,5
446,1,28,2,2,1,4,3,9,2,9,8,8,7,6,3,6,6,5,6,6,5,8,3,3,7
447,1,26,1,1,1,7,2,7,5,6,8,3,2,6,2,5,6,3,4,8,4,9,2,4,3
448,1,22,1,1,1,2,1,3,2,4,9,8,9,3,5,9,7,3,6,7,6,10,6,5,3
449,1,23,7,1,1,3,1,8,2,6,8,7,5,5,3,1,9,7,6,9,2,6,4,1,5
450,1,25,3,7,2,6,2,7,3,9,9,9,9,9,9,3,5,7,9,10,9,10,5,10,3
451,1,30,3,1,2,3,3,3,3,2,4,4,3,3,4,3,6,7,5,7,7,8,6,6,3
452,1,29,7,1,1,5,3,9,6,8,7,8,7,8,7,9,8,7,8,9,8,10,5,3,7
453,1,27,4,3,2,6,5,6,3,5,6,6,5,6,5,3,6,6,4,7,6,5,4,1,6
460,1,33,2,1,1,4,2,9,7,10,10,10,10,8,1,7,9,10,6,9,10,10,1,5,8
461,1,27,2,2,1,7,4,9,8,9,9,7,7,9,8,6,2,2,7,6,6,6,4,4,7
462,1,33,1,5,4,6,6,8,7,5,2,6,6,1,2,7,3,8,5,7,6,9,2,2,8
463,1,23,3,2,2,7,1,5,4,7,5,4,3,3,5,4,5,4,4,4,4,7,3,1,5
464,1,33,1,1,1,3,1,10,9,6,7,3,3,5,5,9,3,4,6,7,7,7,2,1,5
465,1,23,1,3,6,7,3,4,8,1,3,8,8,4,1,4,9,2,1,3,10,10,1,1,4
481,1,23,8,1,2,3,2,3,3,7,9,8,7,1,2,5,8,2,7,10,10,10,6,1,6
482,1,30,2,6,2,6,1,9,7,5,9,6,5,8,2,5,9,6,7,7,2,4,4,3,4
483,1,28,1,1,6,3,1,10,1,10,10,10,10,5,1,1,10,5,10,10,10,10,10,5,5
484,1,31,1,1,1,6,4,7,3,5,9,9,9,9,3,7,9,1,9,9,9,9,2,7,6
485,1,29,4,3,2,6,2,6,10,9,7,7,7,4,6,6,9,8,8,8,7,8,7,4,6
486,1,32,1,1,3,6,2,7,1,3,10,8,6,4,1,9,8,1,7,10,5,8,2,2,8
487,1,24,1,1,1,5,3,4,4,2,8,5,3,2,5,2,7,8,5,9,6,10,6,2,5
488,1,29,1,1,3,2,3,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5
489,1,28,6,5,3,2,1,7,7,7,9,9,9,6,9,9,6,6,9,9,9,7,6,5,6
490,1,29,6,1,2,6,3,3,1,2,7,7,7,6,2,5,9,9,8,10,9,8,7,4,3
491,1,29,3,3,2,4,1,9,2,9,9,9,8,9,7,9,8,2,7,8,8,9,9,6,5
492,1,30,1,1,2,4,2,10,10,10,10,10,10,10,2,4,10,7,5,5,2,5,10,10,7
493,1,20,1,1,5,6,5,10,10,7,7,4,4,3,3,6,7,10,8,8,7,7,10,6,10
494,1,30,2,8,4,3,3,8,10,4,10,10,10,1,1,4,8,6,9,10,7,8,9,10,6
495,1,32,5,6,2,2,1,7,5,6,7,5,6,7,7,6,5,6,7,7,6,5,5,6,6
502,1,26,1,1,1,3,2,8,8,9,6,5,5,10,9,8,7,8,6,9,5,8,3,4,3
503,1,25,1,5,5,6,5,2,4,4,8,8,8,7,5,2,6,5,7,8,9,9,7,7,5
504,1,23,1,1,2,5,2,1,1,2,4,4,4,8,1,3,6,1,5,6,7,7,3,1,7
505,1,27,1,1,3,4,1,10,6,10,5,10,10,9,7,1,10,10,10,10,10,10,10,10,6
506,1,24,5,5,1,7,2,6,4,6,7,7,7,8,2,4,9,2,5,5,5,5,2,1,4
507,1,24,1,1,5,7,3,10,9,10,9,9,8,7,4,5,8,5,7,6,6,8,3,2,5
508,1,36,1,5,3,5,1,10,4,7,6,4,4,4,9,7,10,3,5,4,7,10,4,8,7
531,1,25,5,1,2,7,2,10,10,6,6,10,10,10,6,6,6,10,10,10,8,10,1,6,7
532,1,26,8,3,1,2,2,7,8,6,8,6,4,4,8,6,9,7,6,8,6,7,5,2,6
533,1,26,1,1,2,6,2,7,3,5,7,5,5,7,2,5,3,1,5,7,6,7,2,2,5
534,1,24,1,1,3,5,6,7,9,3,9,9,8,6,7,7,7,3,6,7,8,7,4,1,9
535,1,23,5,6,1,5,3,4,3,4,7,7,6,2,8,8,8,6,6,9,8,9,5,6,6
536,1,29,1,1,1,5,2,7,3,5,8,7,7,3,2,7,8,6,4,9,7,9,7,1,8
537,1,22,7,1,1,5,1,6,6,7,10,8,8,3,3,6,10,8,10,10,10,10,10,1,7
